country,primary,secondary,points,price,province,title,year,variety,winery,pair
Italy,Caramel,Molasses,100,210,Tuscany,Avignonesi 1995 Occhio di Pernice (Vin Santo di Montepulciano),1995,Prugnolo Gentile,Avignonesi,"Beef, Veal, Pork, Game, Mature & Hard Cheese, Poultry"
Spain,Woody,Oak,81,11,Catalonia,Raimat 2009 Castell de Raimat Cabernet Sauvignon (Costers del Segre),2009,Cabernet Sauvignon,Raimat,"Beef, Lamb, Poultry"
US,Fruity,Tropical,82,13,California,Magnolia Court 2012 Sauvignon Blanc (Central Coast),2012,Sauvignon Blanc,Magnolia Court,"Shellfish, Vegetarian,  Goat cheese"
US,Woody,Vanilla,89,18,California,Bink 2013 Lumineux Rose (Yorkville Highlands),2013,Rose,Bink,"Veal, Pork, Game (Deer & Venison), Rich Fish (Salmon & Tuna), Poultry"
Italy,Pungent,Menthol,91,105,Piedmont,Viberti 2007 La Volta Riserva (Barolo),2007,Nebbiolo,Viberti,"Beef, Pasta, Lamb, Game (Deer & Venison)"
US,Fruity,Tree Fruit,90,19,California,Kuyam 2008 Thirteen Moons Red (Santa Barbara County),2008,Bordeaux-style Red Blend,Kuyam,"Beef, Lamb, Game (Deer & Venison), Poultry"
France,Fruity,Berry,87,15,Bordeaux,Chateau Vrai Caillou 2014 Bordeaux Suparieur,2014,Bordeaux-style Red Blend,Chateau Vrai Caillou,"Beef, Veal, Game (Deer & Venison), Poultry"
Chile,Woody,Vanilla,83,8,Colchagua Valley,Via Bisquertt 2014 Petirrojo Reserva Estate Grown Cabernet Sauvignon (Colchagua Valley),2014,Cabernet Sauvignon,Via Bisquertt,"Beef, Lamb, Game (Deer & Venison), Poultry"
Germany,Fruity,Tree Fruit,93,55,Rheingau,Schloss Johannisberger 2012 Granlock Spatlese Riesling (Rheingau),2012,Riesling,Schloss Johannisberger,"Pork, Shellfish, Spicy Food, Poultry, Cured Meat"
US,Biological,Yeasty,92,25,California,Ancestrale 2016 Pet Nat Method Ancestral Bassi Vineyard Pinot Noir (San Luis Obispo County),2016,Pinot Noir,Ancestrale,"Beef, Veal, Game (Deer,  Venison), Poultry"
