Country,Preservation Requests,Preservation Accounts Preserved,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Legal Process Request Total,Legal Process Request Total Accounts,Legal Process Request Total Percentage,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Sweden,21,29,312,596,89.10%,297,568,90.57%,15,28,60.00%,,,,,,,,,,,,,,,,,,
Switzerland,40,93,48,56,22.92%,41,51,17.07%,7,5,57.14%,,,,,,,,,,,,,,,,,,
Taiwan,1,1,483,778,50.10%,463,754,49.68%,20,24,60.00%,,,,,,,,,,,,,,,,,,
Thailand,11,104,6,10,0%,5,9,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,3,24,0,0,0%,0,0,0%,0,0,0%,,,,,,,,,,,,,,,,,,
Turkey,12,13,459,522,49.46%,453,516,48.79%,6,6,100.00%,,,,,,,,,,,,,,,,,,
Uganda,0,0,1,1,0%,0,0,0%,1,1,0%,,,,,,,,,,,,,,,,,,
Ukraine,1,1,6,6,100.00%,0,0,0%,6,6,100.00%,,,,,,,,,,,,,,,,,,
United Arab Emirates,0,0,3,3,33.33%,1,1,0%,2,2,50.00%,,,,,,,,,,,,,,,,,,
United Kingdom,392,713,"6,366","7,952",88.69%,"5,369","6,423",90.22%,997,"1,529",80.44%,,,,,,,,,,,,,,,,,,
United States,37541,64567,"26,014","41,492",83.46%,"24,319","39,311",84.23%,"1,695","2,181",78.29%,"14,736","23,199",85.32%,"6,536","11,935",80.78%,236,284,68.64%,738,"1,476",90.92%,"1,948","2,240",83.11%,125,177,63.20%
Vatican City,0,0,1,1,0%,1,1,0%,0,0,0%,,,,,,,,,,,,,,,,,,
