Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Afghanistan,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Albania,4,6,75.00%,,,,,,,,,,,,,,,,,,,,,
Argentina,254,364,31.89%,,,,,,,,,,,,,,,,,,,,,
Armenia,4,6,25.00%,,,,,,,,,,,,,,,,,,,,,
Australia,610,650,60.33%,,,,,,,,,,,,,,,,,,,,,
Austria,63,84,17.46%,,,,,,,,,,,,,,,,,,,,,
Bahrain,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Bangladesh,7,17,0%,,,,,,,,,,,,,,,,,,,,,
Belgium,209,246,56.94%,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,6,6,66.67%,,,,,,,,,,,,,,,,,,,,,
Botswana,1,2,0%,,,,,,,,,,,,,,,,,,,,,
Brazil,"1,307","2,269",35.20%,,,,,,,,,,,,,,,,,,,,,
Brunei,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Bulgaria,3,4,100.00%,,,,,,,,,,,,,,,,,,,,,
Canada,263,388,53.99%,,,,,,,,,,,,,,,,,,,,,
Chile,307,435,50.49%,,,,,,,,,,,,,,,,,,,,,
Colombia,52,64,38.46%,,,,,,,,,,,,,,,,,,,,,
Costa Rica,3,6,0%,,,,,,,,,,,,,,,,,,,,,
Croatia,19,24,78.95%,,,,,,,,,,,,,,,,,,,,,
Cyprus,13,16,69.23%,,,,,,,,,,,,,,,,,,,,,
Czech Republic,11,12,27.27%,,,,,,,,,,,,,,,,,,,,,
Denmark,15,17,40.00%,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,11,13,27.27%,,,,,,,,,,,,,,,,,,,,,
Ecuador,1,3,0%,,,,,,,,,,,,,,,,,,,,,
Egypt,5,6,20.00%,,,,,,,,,,,,,,,,,,,,,
Estonia,7,7,42.86%,,,,,,,,,,,,,,,,,,,,,
Finland,28,32,42.86%,,,,,,,,,,,,,,,,,,,,,
France,"2,249","2,599",30.24%,,,,,,,,,,,,,,,,,,,,,
Georgia,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Germany,"2,537","3,078",33.94%,,,,,,,,,,,,,,,,,,,,,
Greece,128,167,56.25%,,,,,,,,,,,,,,,,,,,,,
Greenland,3,3,0%,,,,,,,,,,,,,,,,,,,,,
Guatemala,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Hong Kong,20,38,60.00%,,,,,,,,,,,,,,,,,,,,,
Hungary,57,78,33.33%,,,,,,,,,,,,,,,,,,,,,
Iceland,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
India,"4,559","5,958",50.87%,,,,,,,,,,,,,,,,,,,,,
Ireland,54,50,61.11%,,,,,,,,,,,,,,,,,,,,,
Israel,111,144,51.35%,,,,,,,,,,,,,,,,,,,,,
Italy,"1,869","2,658",49.28%,,,,,,,,,,,,,,,,,,,,,
Japan,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Kosovo,9,25,44.44%,,,,,,,,,,,,,,,,,,,,,
