Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Kuwait,4,9,0%,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Lithuania,8,9,37.50%,,,,,,,,,,,,,,,,,,,,,
Luxembourg,4,5,25.00%,,,,,,,,,,,,,,,,,,,,,
Macedonia,10,12,40.00%,,,,,,,,,,,,,,,,,,,,,
Malaysia,19,24,26.32%,,,,,,,,,,,,,,,,,,,,,
Malta,85,94,62.35%,,,,,,,,,,,,,,,,,,,,,
Mexico,170,267,50.59%,,,,,,,,,,,,,,,,,,,,,
Moldova,3,4,100.00%,,,,,,,,,,,,,,,,,,,,,
Monaco,1,2,100.00%,,,,,,,,,,,,,,,,,,,,,
Montenegro,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Nepal,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Netherlands,41,45,56.10%,,,,,,,,,,,,,,,,,,,,,
New Zealand,72,81,54.17%,,,,,,,,,,,,,,,,,,,,,
Norway,25,50,40.00%,,,,,,,,,,,,,,,,,,,,,
Oman,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Pakistan,116,160,35.34%,,,,,,,,,,,,,,,,,,,,,
Palestine,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Paraguay,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Peru,12,24,16.67%,,,,,,,,,,,,,,,,,,,,,
Philippines,6,28,83.33%,,,,,,,,,,,,,,,,,,,,,
Poland,288,377,27.08%,,,,,,,,,,,,,,,,,,,,,
Portugal,354,403,40.40%,,,,,,,,,,,,,,,,,,,,,
Qatar,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Romania,16,20,50.00%,,,,,,,,,,,,,,,,,,,,,
Russia,0,0,0%,,,,,,,,,,,,,,,,,,,,,
Saudi Arabia,0,0,0%,,,,,,,,,,,,,,,,,,,,,
Senegal,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Singapore,129,139,75.97%,,,,,,,,,,,,,,,,,,,,,
South Africa,2,1,0%,,,,,,,,,,,,,,,,,,,,,
South Korea,13,14,23.08%,,,,,,,,,,,,,,,,,,,,,
Spain,514,860,36.58%,,,,,,,,,,,,,,,,,,,,,
Sudan,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Sweden,247,334,80.57%,,,,,,,,,,,,,,,,,,,,,
Switzerland,32,62,25.00%,,,,,,,,,,,,,,,,,,,,,
Taiwan,252,417,57.14%,,,,,,,,,,,,,,,,,,,,,
Thailand,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Turkey,153,249,60.78%,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,6,6,0%,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"2,110","2,619",71.68%,,,,,,,,,,,,,,,,,,,,,
United States,"15,433","23,667",80.15%,573,677,45.20%,"7,669","12,222",84.35%,"6,087","9,488",79.75%,278,326,64.39%,211,287,77.73%,609,654,85.06%,6,13,83.33%
