Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Albania,8,14,87.50%,,,,,,,,,,,,,,,,,,,,,
Andorra,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Argentina,568,694,46.13%,,,,,,,,,,,,,,,,,,,,,
Armenia,5,6,80.00%,,,,,,,,,,,,,,,,,,,,,
Australia,693,744,64.94%,,,,,,,,,,,,,,,,,,,,,
Austria,58,67,36.21%,,,,,,,,,,,,,,,,,,,,,
Bangladesh,3,3,0%,,,,,,,,,,,,,,,,,,,,,
Belgium,281,356,68.68%,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,17,38,23.53%,,,,,,,,,,,,,,,,,,,,,
Botswana,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Brazil,"1,265","1,954",39.94%,,,,,,,,,,,,,,,,,,,,,
Brunei,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
Bulgaria,2,2,100.00%,,,,,,,,,,,,,,,,,,,,,
Cambodia,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Canada,410,508,78.78%,,,,,,,,,,,,,,,,,,,,,
Chile,310,616,52.26%,,,,,,,,,,,,,,,,,,,,,
China,0,0,0%,,,,,,,,,,,,,,,,,,,,,
Colombia,125,182,48.80%,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Croatia,18,20,44.44%,,,,,,,,,,,,,,,,,,,,,
Cyprus,8,8,12.50%,,,,,,,,,,,,,,,,,,,,,
Czech Republic,34,41,73.53%,,,,,,,,,,,,,,,,,,,,,
Denmark,49,80,38.78%,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,80,96,53.75%,,,,,,,,,,,,,,,,,,,,,
Ecuador,13,26,69.23%,,,,,,,,,,,,,,,,,,,,,
Egypt,2,4,0%,,,,,,,,,,,,,,,,,,,,,
Estonia,14,19,57.14%,,,,,,,,,,,,,,,,,,,,,
Finland,16,22,81.25%,,,,,,,,,,,,,,,,,,,,,
France,"2,520","2,847",42.50%,,,,,,,,,,,,,,,,,,,,,
Germany,"2,344","2,716",35.66%,,,,,,,,,,,,,,,,,,,,,
Greece,162,179,66.05%,,,,,,,,,,,,,,,,,,,,,
Guatemala,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,
Hong Kong,71,239,46.48%,,,,,,,,,,,,,,,,,,,,,
Hungary,185,224,36.22%,,,,,,,,,,,,,,,,,,,,,
Iceland,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,
India,"5,115","6,268",45.32%,,,,,,,,,,,,,,,,,,,,,
Indonesia,8,7,12.50%,,,,,,,,,,,,,,,,,,,,,
Iraq,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,
Ireland,20,18,60.00%,,,,,,,,,,,,,,,,,,,,,
Israel,174,237,63.22%,,,,,,,,,,,,,,,,,,,,,
Italy,"1,816","2,994",48.62%,,,,,,,,,,,,,,,,,,,,,
Japan,9,8,22.22%,,,,,,,,,,,,,,,,,,,,,
Jordan,7,12,14.29%,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2,3,0%,,,,,,,,,,,,,,,,,,,,,
Kenya,5,6,20.00%,,,,,,,,,,,,,,,,,,,,,
Kosovo,6,14,50.00%,,,,,,,,,,,,,,,,,,,,,
Kuwait,3,8,33.33%,,,,,,,,,,,,,,,,,,,,,
Lebanon,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,3,3,33.33%,,,,,,,,,,,,,,,,,,,,,
Lithuania,34,114,50.00%,,,,,,,,,,,,,,,,,,,,,
Luxembourg,5,5,20.00%,,,,,,,,,,,,,,,,,,,,,
Macedonia,10,23,30.00%,,,,,,,,,,,,,,,,,,,,,
Malaysia,4,7,75.00%,,,,,,,,,,,,,,,,,,,,,
Maldives,3,4,0%,,,,,,,,,,,,,,,,,,,,,
Malta,152,193,71.05%,,,,,,,,,,,,,,,,,,,,,
Mexico,313,574,61.02%,,,,,,,,,,,,,,,,,,,,,
Moldova,5,3,20.00%,,,,,,,,,,,,,,,,,,,,,
Monaco,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Mongolia,3,3,0%,,,,,,,,,,,,,,,,,,,,,
Montenegro,3,4,66.67%,,,,,,,,,,,,,,,,,,,,,
Nauru,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Netherlands,113,111,66.37%,,,,,,,,,,,,,,,,,,,,,
New Zealand,146,154,67.81%,,,,,,,,,,,,,,,,,,,,,
Norway,26,36,61.54%,,,,,,,,,,,,,,,,,,,,,
Pakistan,192,275,58.33%,,,,,,,,,,,,,,,,,,,,,
Panama,1,38,0%,,,,,,,,,,,,,,,,,,,,,
Peru,18,33,55.56%,,,,,,,,,,,,,,,,,,,,,
Philippines,5,6,80.00%,,,,,,,,,,,,,,,,,,,,,
Poland,492,444,34.35%,,,,,,,,,,,,,,,,,,,,,
Portugal,488,486,36.07%,,,,,,,,,,,,,,,,,,,,,
Qatar,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Romania,25,70,28.00%,,,,,,,,,,,,,,,,,,,,,
Russia,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Senegal,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Serbia,19,27,84.21%,,,,,,,,,,,,,,,,,,,,,
Singapore,198,213,74.62%,,,,,,,,,,,,,,,,,,,,,
Slovenia,1,2,0%,,,,,,,,,,,,,,,,,,,,,
South Africa,3,4,0%,,,,,,,,,,,,,,,,,,,,,
South Korea,25,24,28.00%,,,,,,,,,,,,,,,,,,,,,
Spain,619,"1,000",41.33%,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,
Sweden,238,348,87.82%,,,,,,,,,,,,,,,,,,,,,
Switzerland,38,45,44.74%,,,,,,,,,,,,,,,,,,,,,
Taiwan,245,394,62.86%,,,,,,,,,,,,,,,,,,,,,
Thailand,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Tunisia,1,48,100.00%,,,,,,,,,,,,,,,,,,,,,
Turkey,368,475,87.50%,,,,,,,,,,,,,,,,,,,,,
Uganda,1,2,0%,,,,,,,,,,,,,,,,,,,,,
Ukraine,6,7,16.67%,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,2,6,0%,,,,,,,,,,,,,,,,,,,,,
United Kingdom,"3,384","4,489",78.04%,,,,,,,,,,,,,,,,,,,,,
United States,"17,577","26,579",79.85%,666,809,73.72%,"9,737","15,013",83.96%,"5,375","8,475",72.52%,295,345,71.53%,237,343,78.90%,"1,066","1,315",80.58%,201,279,86.57%
