Country,Total Data Requests,Total Users/Accounts Requested,Percent Requests Where Some Data Produced,Emergency Request Total,Emergency Request Total Accounts,Emergency Request Total Percentage,Search Warrant,Search Warrant Accounts,Search Warrant Percentage,Subpoena,Subpoena Accounts,Subpoena Percentage,Court Order (Other),Court Order (Other) Accounts,Court Order (Other) Percentage,Court Order (18 USC 2703(d)),Court Order (18 USC 2703(d)) Accounts,Court Order (18 USC 2703(d)) Percentage,Pen Register/Trap and Trace,Pen Register/Trap and Trace Accounts,Pen Register/Trap and Trace Percentage,Title III,Title III Accounts,Title III Percentage
Afghanistan,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Albania,16,34,25.00%,,,,,,,,,,,,,,,,,,,,,
Algeria,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Andorra,3,3,33.33%,,,,,,,,,,,,,,,,,,,,,
Argentina,482,708,48.55%,,,,,,,,,,,,,,,,,,,,,
Armenia,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Australia,829,933,68.64%,,,,,,,,,,,,,,,,,,,,,
Austria,46,63,10.87%,,,,,,,,,,,,,,,,,,,,,
Bahrain,3,10,0%,,,,,,,,,,,,,,,,,,,,,
Bangladesh,5,5,0%,,,,,,,,,,,,,,,,,,,,,
Belgium,239,319,59.00%,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,5,9,80.00%,,,,,,,,,,,,,,,,,,,,,
Brazil,"1,212","1,967",34.32%,,,,,,,,,,,,,,,,,,,,,
Canada,279,355,57.71%,,,,,,,,,,,,,,,,,,,,,
Chile,288,410,61.46%,,,,,,,,,,,,,,,,,,,,,
Colombia,67,106,55.22%,,,,,,,,,,,,,,,,,,,,,
Costa Rica,1,2,0%,,,,,,,,,,,,,,,,,,,,,
Croatia,21,28,80.95%,,,,,,,,,,,,,,,,,,,,,
Cyprus,20,26,60.00%,,,,,,,,,,,,,,,,,,,,,
Czech Republic,22,132,54.55%,,,,,,,,,,,,,,,,,,,,,
Denmark,31,33,35.48%,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,22,39,40.91%,,,,,,,,,,,,,,,,,,,,,
Ecuador,2,10,0%,,,,,,,,,,,,,,,,,,,,,
Egypt,5,5,0%,,,,,,,,,,,,,,,,,,,,,
Estonia,6,7,66.67%,,,,,,,,,,,,,,,,,,,,,
Finland,18,28,72.22%,,,,,,,,,,,,,,,,,,,,,
France,"2,094","2,885",42.41%,,,,,,,,,,,,,,,,,,,,,
Germany,"2,132","2,611",34.29%,,,,,,,,,,,,,,,,,,,,,
Greece,117,142,57.26%,,,,,,,,,,,,,,,,,,,,,
Greenland,1,1,100.00%,,,,,,,,,,,,,,,,,,,,,
Hong Kong,39,51,41.03%,,,,,,,,,,,,,,,,,,,,,
Hungary,128,167,34.38%,,,,,,,,,,,,,,,,,,,,,
India,"5,473","7,281",44.69%,,,,,,,,,,,,,,,,,,,,,
Indonesia,5,21,40.00%,,,,,,,,,,,,,,,,,,,,,
Ireland,34,34,70.59%,,,,,,,,,,,,,,,,,,,,,
Israel,232,310,46.98%,,,,,,,,,,,,,,,,,,,,,
Italy,"1,774","2,696",46.45%,,,,,,,,,,,,,,,,,,,,,
Japan,9,9,11.11%,,,,,,,,,,,,,,,,,,,,,
Jordan,3,3,33.33%,,,,,,,,,,,,,,,,,,,,,
Kazakhstan,2,5,0%,,,,,,,,,,,,,,,,,,,,,
Kenya,2,3,0%,,,,,,,,,,,,,,,,,,,,,
Kosovo,2,7,50.00%,,,,,,,,,,,,,,,,,,,,,
Kuwait,4,6,0%,,,,,,,,,,,,,,,,,,,,,
Liechtenstein,2,3,50.00%,,,,,,,,,,,,,,,,,,,,,
Lithuania,12,21,41.67%,,,,,,,,,,,,,,,,,,,,,
Luxembourg,1,4,100.00%,,,,,,,,,,,,,,,,,,,,,
Macau,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Macedonia,5,8,20.00%,,,,,,,,,,,,,,,,,,,,,
Malaysia,17,22,23.53%,,,,,,,,,,,,,,,,,,,,,
Maldives,3,3,66.67%,,,,,,,,,,,,,,,,,,,,,
Malta,93,112,70.97%,,,,,,,,,,,,,,,,,,,,,
Mexico,260,412,61.92%,,,,,,,,,,,,,,,,,,,,,
Moldova,4,4,25.00%,,,,,,,,,,,,,,,,,,,,,
Montenegro,4,4,25.00%,,,,,,,,,,,,,,,,,,,,,
Myanmar,0,0,0%,,,,,,,,,,,,,,,,,,,,,
Nepal,2,4,0%,,,,,,,,,,,,,,,,,,,,,
Netherlands,76,84,64.47%,,,,,,,,,,,,,,,,,,,,,
New Zealand,139,151,62.59%,,,,,,,,,,,,,,,,,,,,,
Norway,21,22,47.62%,,,,,,,,,,,,,,,,,,,,,
Pakistan,100,152,42.00%,,,,,,,,,,,,,,,,,,,,,
Paraguay,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Peru,10,20,50.00%,,,,,,,,,,,,,,,,,,,,,
Philippines,7,27,85.71%,,,,,,,,,,,,,,,,,,,,,
Poland,305,349,29.84%,,,,,,,,,,,,,,,,,,,,,
Portugal,305,365,34.75%,,,,,,,,,,,,,,,,,,,,,
Romania,14,35,42.86%,,,,,,,,,,,,,,,,,,,,,
Russia,2,0,0%,,,,,,,,,,,,,,,,,,,,,
Senegal,1,1,0%,,,,,,,,,,,,,,,,,,,,,
Serbia,15,25,60.00%,,,,,,,,,,,,,,,,,,,,,
Singapore,177,194,74.58%,,,,,,,,,,,,,,,,,,,,,
Slovakia,5,5,20.00%,,,,,,,,,,,,,,,,,,,,,
Slovenia,3,3,33.33%,,,,,,,,,,,,,,,,,,,,,
South Africa,2,2,50.00%,,,,,,,,,,,,,,,,,,,,,
South Korea,14,29,42.86%,,,,,,,,,,,,,,,,,,,,,
Spain,500,"1,041",37.00%,,,,,,,,,,,,,,,,,,,,,
Sudan,2,2,0%,,,,,,,,,,,,,,,,,,,,,
Sweden,213,289,76.06%,,,,,,,,,,,,,,,,,,,,,
Switzerland,39,137,10.26%,,,,,,,,,,,,,,,,,,,,,
Taiwan,204,327,56.37%,,,,,,,,,,,,,,,,,,,,,
Thailand,3,3,0%,,,,,,,,,,,,,,,,,,,,,
